"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA6",75.0214553237578,2.94894726800824,0.611353258199618,4.82363875297342,1.40962624849161e-06,9.84379166833679e-05
"ABLIM3",41.8861441224339,2.48660252482031,0.742472091929713,3.34908551021431,0.000810787683120018,0.0159013471577827
"ABTB2",189.965184131859,4.10548859682993,0.689510901002938,5.95420404645994,2.61340581906994e-09,4.59134138108182e-07
"ACOD1",497.467280837055,3.30949399291269,0.61781407484728,5.35677985926556,8.47182362338686e-08,9.30228528120571e-06
"ACOT4",72.6488975308123,2.32187622724754,0.635770680945128,3.65206559037273,0.000260139416953438,0.0067522968412953
"ACSL1",12225.8676973898,2.86760214821289,0.543300665480428,5.27811271071632,1.30521178621026e-07,1.30443022226642e-05
"ACVR2A",1627.92594666065,2.7172145551316,0.591953571473646,4.59024944873159,4.42716598616424e-06,0.000248785859626536
"ADA",3334.54416471882,2.97149237661894,0.432664533930473,6.86788988601604,6.51584829555993e-12,1.97726378277991e-09
"ADAM9",1025.34406748392,2.03639089262447,0.408101896936355,4.9899079320919,6.04080770967867e-07,4.77552221365588e-05
"ADAMDEC1",187.738176258567,3.91214082784324,0.717122399661953,5.45533207397705,4.88814076887427e-08,5.6654909328133e-06
"ADAMTS10",17.9851853293364,-3.19065225639875,1.0900909732413,-2.92695961595902,0.00342293323766618,0.0449333706291288
"ADGRG3",393.809731533614,2.427239518944,0.488478260738426,4.96898166005335,6.73054348040617e-07,5.12935025972506e-05
"ADM",1361.86999391825,2.14879687806454,0.611180973934823,3.51581114220628,0.000438412721953819,0.0100647982522823
"ADORA2A",39.5522751774589,2.66090081536438,0.736967431535155,3.61060842243943,0.000305479568027933,0.00765533632190119
"ADORA2A-AS1",192.18765899697,4.43069699790031,0.603456860084128,7.34219343746068,2.10121406662159e-13,8.99211865946522e-11
"ADPRH",519.741905067987,2.30832934597642,0.461994098322424,4.99644769134139,5.83960056098213e-07,4.64109206489485e-05
"AFF3",127.308293552295,-2.52589879322908,0.671141486928341,-3.76358613261942,0.000167494000017526,0.00472208591265626
"AGPAT4-IT1",48.205648220341,-3.71996826563755,0.777031885345763,-4.78740748712293,1.68949575586977e-06,0.000112341371177157
"AHI1",352.535809342534,-3.43367754485423,0.578707330920925,-5.93335760822323,2.96801413060532e-09,5.05470977957172e-07
"AK4",614.652640748655,4.78580303127873,0.509418898229156,9.39463189904254,5.74182401038778e-21,8.12851177786295e-18
"AK5",40.8842948160596,-3.47972337791091,0.807499722855887,-4.30925643615599,1.63804347040046e-05,0.000732947601098758
"ALAS2",365.792546696576,3.32730184574593,0.709228268178347,4.6914399707898,2.71288872477898e-06,0.000167696714135412
"ALCAM",1226.73087181862,2.18380822056477,0.409470499215247,5.33324922002941,9.64707633928558e-08,1.02213904123837e-05
"ALPL",79.1574952478624,3.67761493855844,0.722968941955735,5.08682285660843,3.64111629972119e-07,3.02339457922123e-05
"AMIGO1",25.5998903109591,-3.1621891441978,0.925949028505206,-3.41507906682794,0.000637634994417587,0.0132036328248505
"AMPD3",2166.80474147815,3.04713081170855,0.447179423007574,6.81411231137291,9.48475866045349e-12,2.68306139055879e-09
"ANKRD20A11P",33.5082310790567,-5.6638298137652,1.26463973807853,-4.47861129397272,7.5130197299345e-06,0.000385822459361867
"ANKRD20A5P",32.6208789899775,-2.85661938730247,0.866313126927419,-3.29744442108841,0.000975689826645738,0.0182354571183845
"ANKRD26",157.400253928586,-2.33710704287592,0.516897446217352,-4.52141340604184,6.14280882629161e-06,0.000324441390224073
"ANKRD36C",973.260432444348,-2.17861795735519,0.47223793956906,-4.61339035856222,3.96153279802338e-06,0.000228781946017336
"ANKZF1",203.903063693727,-2.6078485922416,0.613422045653842,-4.25131214425447,2.12521726405259e-05,0.00092610642655451
"ANO5",50.4467720198774,2.90736333321507,0.975115184211504,2.98155887662237,0.00286784896313602,0.0397214931076682
"ANTXRLP1",48.765237835334,-2.12522725565373,0.736676640608948,-2.88488481716616,0.0039155689204269,0.0492841970451923
"ANXA3",92.6063129946799,3.9831660813129,0.743038465359387,5.36064587098644,8.29249351677882e-08,9.16567660894295e-06
"APOBEC3A",1495.7861776619,2.97038736495873,0.467245538140589,6.35723002680653,2.05424265464834e-10,4.76184859806677e-08
"APOBEC3A_B",1242.26959867583,3.06647799766029,0.495734191022322,6.1857302828689,6.1815622254772e-10,1.30595282966094e-07
"APOBEC3B",655.933228551547,3.45646273932312,0.585482700298291,5.90361207523659,3.55627834012632e-09,5.93542854967083e-07
"APOBEC3G",1762.04768976778,2.18324195864933,0.528486090456604,4.13112473170873,3.60992628713137e-05,0.00141758163732584
"AQP9",20464.0237448056,4.21236013990114,0.624284442262473,6.74750138676386,1.50412800406659e-11,4.18398273131191e-09
"ARHGAP11A",130.157055369272,2.46977601270862,0.55861674228974,4.42123521501547,9.81382722075833e-06,0.000484594012764664
"ARHGAP15-AS1",84.5476938718749,-2.04358542434885,0.601738679705919,-3.39613439067535,0.00068344794248497,0.0139177107379252
"ARHGAP26-IT1",25.7339424140258,-5.11795331426002,1.30733374469158,-3.91480242519665,9.04782663748699e-05,0.00285459785594816
"ARHGAP31",1292.51134118688,2.22926771869808,0.495825083241882,4.49607693124828,6.9218700847456e-06,0.000362150506941705
"ARHGAP32",20.2016700595359,-3.17050047196669,1.03005784971734,-3.07798292381025,0.00208406856920478,0.031621004018207
"ARHGEF18",352.935541360834,-2.01246296581081,0.490484724966192,-4.10300843915072,4.0781236834989e-05,0.00154508868414699
"ASTL",184.580365100941,3.13596646999529,0.741483727557775,4.22931259776154,2.34406447919153e-05,0.000992955232429101
"ATP2B1-AS1",6678.55925922544,2.60795461037557,0.632588024985301,4.12267464347933,3.74498480826854e-05,0.00145020409396756
"AUH",273.735154307825,-2.03815287327065,0.461272325913314,-4.418545745694,9.93672497684162e-06,0.000489215161839194
"AXIN2",58.9025936405361,-2.50493592044571,0.670747073788707,-3.73454617743855,0.000188053985639005,0.00520500998393864
"AZIN1",8713.86772440278,2.54783137930441,0.416314447328671,6.11996868149269,9.35937509302289e-10,1.85774646624729e-07
"B3GNT5",2308.6475052413,2.49777547536142,0.625121397308825,3.99566465987959,6.4512998940082e-05,0.00220528566844915
"BANK1",730.471007478901,-2.08680039992788,0.437111344787587,-4.77407055390418,1.80539086004452e-06,0.000119571323230726
"BATF",346.921547345305,2.87301481243668,0.456004185102939,6.30041325561106,2.9685310726905e-10,6.51905047410585e-08
