"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M",60.8964693627026,-2.02578176795916,0.556196252240454,-3.64220679265451,0.000270310785531869,0.00974874092755845
"ABCA5",200.444485005058,-1.65484273010059,0.417227693826347,-3.96628209149834,7.30024559762664e-05,0.00375421889344615
"ABHD17B",208.214865254374,-1.4791687982924,0.468856968990535,-3.15484016687883,0.00160586053636164,0.0339165219053202
"ABL2",323.175627736112,-1.58240322370743,0.463970396733753,-3.41056937004427,0.000648273907183819,0.0175689006557116
"ABTB2",61.7024632637033,1.8720012657205,0.603500994315761,3.10190253761378,0.00192281252637223,0.038140359898112
"ACSL1",11581.8034713376,2.37532478378345,0.769017267933767,3.08877951488084,0.00200980534871142,0.0394850526201691
"ACVR2A",952.714849653403,1.31370301622611,0.43529541655703,3.01795738309593,0.00254484689784375,0.0463621632300469
"ADAM9",997.067717736598,1.53429677387603,0.448025300208302,3.42457618612762,0.00061575916946777,0.0171122949683479
"ADAMTS10",23.4180862904433,-3.04900394735482,1.00348557691086,-3.03841332402693,0.0023782750981388,0.0442844190343089
"ADGRG3",350.2025016193,1.78275220078582,0.403113128641064,4.42246127481797,9.75828435760763e-06,0.00084244836252051
"ADM",1247.00824532089,1.54556594549844,0.515033392350802,3.00090434611222,0.00269179107841503,0.0481229859962996
"ADORA2A-AS1",80.9057940143138,2.68777060099345,0.692606912819633,3.88065806339041,0.000104174216061191,0.00490325081359201
"AGAP3",122.033754320135,-1.41325330463006,0.464766289555764,-3.04078272540136,0.00235964040405975,0.0441260700476358
"AGER",26.704685798947,-2.55632394535354,0.83016463530237,-3.07929757140577,0.00207489322149013,0.0403876995986781
"AGFG1",427.998784104286,-1.38025741419749,0.40644478609672,-3.39592845427482,0.000683962350430788,0.0181757267669502
"AGPAT4-IT1",59.3972228942678,-4.65745001890309,0.787414884713471,-5.91486154163555,3.32154874392548e-09,1.00624809402339e-06
"AHCTF1",568.514768909688,-1.52445111973925,0.396087852793531,-3.84877018819839,0.000118712311586276,0.0052971384313248
"AHI1",443.459552803704,-3.71014935454621,0.570108365059745,-6.50779673116602,7.62610115021641e-11,3.73723815779135e-08
"AHSP",60.4904682934884,2.54375800243562,0.736262468591336,3.4549608474577,0.000550372739099834,0.0160040324238768
"AK5",61.0216160868024,-1.84164047793726,0.616352833887859,-2.98796464732785,0.00280842037946118,0.0496223757821657
"AKAP9",2499.16900918984,-1.46121815119901,0.368119303085856,-3.96941464071556,7.2049411068697e-05,0.00372460682669747
"ALAS2",266.875801779144,2.41244523940764,0.623424426646388,3.86966749504026,0.000108983887009279,0.00501626940704035
"ALCAM",1846.29266758862,2.47254625722665,0.736103509117759,3.35896545336412,0.000782348470920192,0.0201594532231708
"ALDH5A1",73.5754944224478,-1.80138214105661,0.541467987900711,-3.32684882820243,0.000878340091986894,0.0219413832274147
"ALG10",171.973545363623,-1.40930864676082,0.429099385306333,-3.28434086605536,0.00102221207351518,0.0248643760130072
"ALPL",62.2721312167738,2.89713102409255,0.694304246646299,4.17271108175786,3.00996525773962e-05,0.00203044700908735
"AMZ2P1",666.814933980648,1.2995419724952,0.419765680527306,3.09587475294008,0.00196233229790987,0.0387857422868023
"ANKH",360.779291785837,-1.34230554226219,0.409127345251101,-3.28089910841415,0.00103476751359424,0.0250236521212007
"ANKRD18A",39.9541491931675,-2.17729295856555,0.697924108230182,-3.11967008001313,0.00181053702801226,0.0365662641948367
"ANKRD20A11P",48.5388272974482,-2.66455530812055,0.688411149665513,-3.87058708943806,0.000108573559973224,0.00501626940704035
"ANKRD20A5P",44.3099959357611,-2.17862764198948,0.66150768281294,-3.29342757248905,0.000989738374225155,0.0241449791966904
"ANKRD26",226.338467017528,-1.51519756717295,0.448057652684918,-3.38170223874843,0.000720381839051082,0.0188726449721213
"ANKRD36",1251.19012578759,-2.16809768666494,0.467737621677816,-4.63528607959263,3.56444174360422e-06,0.000371192052074584
"ANKRD36B",667.245047613023,-1.92532351850537,0.475185231399223,-4.05173265346672,5.08397380295937e-05,0.00292100591396238
"ANKRD36C",1220.51407115866,-2.32133685886053,0.490513129025759,-4.73246631231073,2.21808125583875e-06,0.000258445243949548
"ANXA3",92.6230908501432,3.6041872569024,0.6695242346129,5.38320656755052,7.31704854177082e-08,1.50514398522204e-05
"ANXA7",3872.14887757992,1.20932545572753,0.399270963857322,3.02883396289162,0.00245499567787523,0.0452524216112848
"APBB1IP",815.177611787607,-1.27359632628851,0.35563941991922,-3.5811449883081,0.000342091739168221,0.0115364544034898
"APH1A",1544.41517179688,1.10872974175703,0.353698146619685,3.13467783858418,0.00172042937195292,0.0355396106048879
"APOBEC3A",4224.4907450375,4.21622207999394,0.631283637210913,6.67880779964726,2.4089384007991e-11,1.38405971152119e-08
"APOBEC3A_B",3153.53057336657,4.14497052965224,0.65927256758779,6.28718793020352,3.23267961086391e-10,1.28297044803815e-07
"APOBEC3B",1505.92446960853,4.36353093752518,0.671232295443723,6.50077620988221,7.99066281856991e-11,3.8040121109432e-08
"APOBEC3G",1843.59746083019,1.82867253666819,0.464216573199419,3.93926594232695,8.17312935564069e-05,0.00407726590789476
"AQP9",11139.3086113502,2.88357724181622,0.75692971727719,3.80957065893641,0.000139208319304815,0.00594740773399186
"ARHGAP15-AS1",102.608389241451,-2.44227096521598,0.626619680134895,-3.89753313316018,9.7177530107033e-05,0.00467968788047221
"ARHGAP26-IT1",33.4143321154126,-4.08116301716824,0.904242918851175,-4.51334805292508,6.38121717915652e-06,0.000588586601495999
"ARHGEF18",499.915133354386,-1.35567560423912,0.451168742790221,-3.00480834699461,0.00265748241866405,0.0477144095471771
"ARIH1",918.079730978083,-1.3284352617937,0.377576105772248,-3.51832449534029,0.000434280969377521,0.013575965312886
"ARL4A",1218.61613186004,1.19308135947413,0.357382646540522,3.33838637948205,0.00084266484889339,0.0213334624209182
"ASAP1-IT1",36.5003222959779,-4.70253872667872,0.954203953563674,-4.92823228107168,8.29769337509974e-07,0.000113324727062223
"ASH1L",2306.50065896306,-1.30725843736021,0.347354292652639,-3.76347281439096,0.000167569950905929,0.00687697172905071
"ATAD2B",998.586350145902,-1.38420689424756,0.383548597570617,-3.60894787000938,0.000307441376057834,0.0107468564977027
"ATM",1213.97699382254,-1.49125649904794,0.398309854243813,-3.74396084645978,0.000181141892791755,0.00725525533100054
"ATP6AP1",4002.7542632573,1.29340316312872,0.432774620370608,2.98862988319674,0.00280231365711343,0.0495670383809172
"ATRX",2420.87117893968,-1.18051043614671,0.346271611169665,-3.40920363687649,0.000651528259168265,0.0175689006557116
"AZIN1",6720.03517692582,1.65477550884178,0.363673346040626,4.5501698897035,5.36026195186584e-06,0.000513291291045912
"B3GAT2",45.4884242472654,-2.40781677320419,0.635033059522493,-3.79164003684269,0.000149655723028225,0.00628101676850451
"B4GALNT3",12.4920975799786,-5.55455332377603,1.71982686934559,-3.22971656204532,0.00123912996323544,0.0283604168233914
"BACH2",1080.31017229004,-1.38621411933325,0.404927588774314,-3.42336298578524,0.000618514238502469,0.0171475378789209
"BAG3",204.329969965961,-1.4480718871365,0.465529579488852,-3.11059049937594,0.00186713671581168,0.03734721723752
"BATF",439.427760708065,2.8634395850475,0.82293151252466,3.47956001376445,0.000502237867010133,0.014996930717066
"BATF3",114.235965489284,2.8652236844821,0.830869573060647,3.44846384725291,0.000563784937499804,0.0161975761572868
"BBC3",289.082172350773,2.76220255581372,0.802533619206602,3.44185276442933,0.000577744619255927,0.0164553518735765
"BCL2L1",475.129228351081,1.47870461088785,0.433744817887969,3.40915798853368,0.000651637294756317,0.0175689006557116
"BCL3",432.500153804485,-1.28617680394893,0.411261470335401,-3.1273943627639,0.00176363185835715,0.035879895023134
"BDP1",1578.00647858048,-1.33394831649484,0.393475258533415,-3.39017076058813,0.0006984910012898,0.0184441474857221
"BHLHE40",3425.11433268924,1.51286567480114,0.34344066935085,4.4050277378642,1.05770342934053e-05,0.00087244824453821
"BIRC6",1796.19522199813,-1.47184557878709,0.357606075054623,-4.11582934815152,3.8578967670366e-05,0.00240278960989332
"BISPR",203.432665982512,1.65094142380189,0.503796667299755,3.27699949396368,0.00104916557444875,0.0252667731069828
"BOD1L1",1169.10450807111,-1.43094819984875,0.414960077327558,-3.44839968477064,0.000563918897568042,0.0161975761572868
"BPI",176.962422543722,2.24269881417581,0.615523287910056,3.64356452180819,0.000268888207875154,0.00971847140914495
"BRI3",145.347542678585,-1.80522107205674,0.547374418408126,-3.29796390066361,0.000973886541855028,0.0238630846476301
"BTAF1",2509.49521298411,-1.7760018230066,0.347739027613832,-5.10728357180222,3.26823096194172e-07,5.5005317462498e-05
"BTBD7",416.278704138854,-1.24623456031642,0.379768326911313,-3.28156529127153,0.00103232621368582,0.0250009002506295
"BTG3",249.722119279178,1.50850530563979,0.483929793405193,3.11719866434577,0.00182578491310602,0.0367850401719136
"C11orf65",26.1090022597463,-3.9841647359024,0.919823882861644,-4.33144301875197,1.48135285904159e-05,0.00114801401569075
"C11orf68",80.7242689012323,-2.11403954088665,0.604268591763509,-3.49850971852929,0.000467866038226926,0.0142515245501591
"C15orf48",7472.99523246217,2.82361217136511,0.734425141594304,3.84465619632188,0.000120721571156238,0.00532133020795036
"C16orf87",427.358178538668,1.32863269078101,0.381042749176375,3.48683367851207,0.000488775225024798,0.0147535739118898
"C1orf122",274.819180956253,2.91217176543615,0.718260831532789,4.05447664356344,5.02466703636686e-05,0.0029050538738083
"C1orf35",219.707304443701,-1.33045889810121,0.441393209529078,-3.01422602201034,0.00257635791115962,0.0468638378992813
"C1RL-AS1",35.5287204214133,-3.46357535716281,0.866032339528129,-3.99936029992829,6.35139253135187e-05,0.00341377104378661
"C3AR1",2399.47274442502,1.29873120732226,0.37163618985342,3.49463061666439,0.000474718261362892,0.0144338607131907
"C3orf62",134.946580896364,-1.88413907282534,0.48684273472003,-3.87011849711357,0.000108782465438068,0.00501626940704035
"C5orf24",424.8054479189,-1.32375788178452,0.379067849854567,-3.49213968499937,0.000479167592239097,0.0145426055043494
"C5orf58",93.8559817277221,-2.38638163030368,0.596376446486569,-4.00146860990665,6.29505473468347e-05,0.00339444019382835
"C9orf47",59.7108299278056,-2.80539699281061,0.725821188790021,-3.86513515468919,0.000111027701291629,0.00506833851759212
"CA2",474.209483776604,2.17051782814231,0.469580115036282,4.62225243071591,3.79595699562169e-06,0.000390421206549683
"CABIN1",331.10984407631,-1.43987247807311,0.441314102405921,-3.26269310276587,0.00110358959135921,0.0258986053115876
"CACNB2",73.8912409360836,-2.02220832397678,0.601862059686232,-3.35991992090516,0.000779650675063991,0.0201552601136465
"CARD16",4927.06679274532,1.93990103973187,0.554385896837511,3.49918901400273,0.000466675635575777,0.0142412993405927
"CARD17",133.164606234672,2.81289337927412,0.734508738031955,3.82962548112224,0.000128338429451678,0.00556889694332697
"CASD1",142.984779663179,-1.37912921547769,0.451751770051776,-3.05284739740949,0.00226681181490217,0.0428713035867196
"CASP1",4266.98262504843,2.01747993483476,0.584486081077947,3.45171596065041,0.000557033782376882,0.0161413858816758
"CASP4",2828.93149803388,1.91523333423216,0.524059089666391,3.65461332891178,0.000257569872108192,0.00946401698738144
"CASP5",249.888576841215,2.98996369289036,0.872145542398214,3.42828524315862,0.000607406893802301,0.0169524516993868
"CCDC141",363.989475186111,-1.81043750124853,0.489930569894324,-3.69529401204549,0.000219632483668922,0.00824215415065672
"CCDC144A",224.934263328941,-2.53376898133941,0.685820800741338,-3.69450588054567,0.000220314795238976,0.00824918004106028
"CCDC144B",608.480305676435,-2.66141945180438,0.558084905874445,-4.76884327777023,1.85286730839666e-06,0.00021895372406032
"CCDC144CP",150.145653078477,-2.25734134256865,0.567039577634458,-3.98092378663531,6.86479587355095e-05,0.00364271429443013
"CCDC18",250.598096787617,-1.33161163339408,0.40786163189596,-3.26486124032809,0.00109517713391,0.0258774566072053
"CCDC18-AS1",228.306580119231,-2.09548146539108,0.522536433871227,-4.01021121123869,6.06644573545132e-05,0.00331406947029803
"CCDC7",173.884720140521,-1.58724528459829,0.451631037818468,-3.51447343447701,0.000440626741402728,0.0136972439650229
"CCDC88A",1399.75450338845,-1.19918269905991,0.362583122847153,-3.30733181854531,0.000941892503899567,0.0232156995561754
"CCL20",3147.36847204068,1.78038352259354,0.517881075444823,3.43782309686507,0.000586410665358469,0.0166169634459231
"CCL24",50.781896743517,3.78600093316243,1.17702941135268,3.21657292217654,0.00129731559648208,0.0292501657220358
"CCL3",73131.8199458321,3.27587252181732,0.647477938936029,5.05943496268059,4.20500669061135e-07,6.6727449027587e-05
"CCL3P1",5019.31135709573,2.66710453308934,0.775411177439178,3.43960031875932,0.000582573830935021,0.016536363153389
"CCL4",52718.1358037358,2.68842650494531,0.651495647444985,4.12654561160723,3.68252992705087e-05,0.00235479110311325
"CCL8",206.318345914782,7.04001703454266,2.29181073413092,3.07181432118229,0.00212762027608305,0.0408885917417482
"CCNT1",1228.27544139318,-1.19999056723073,0.383126696599177,-3.1320985404631,0.00173561611551759,0.035570523636844
"CCR3",74.9812886372092,4.84962808294365,0.713215141499308,6.79967067545545,1.0485857180752e-11,7.27980634773707e-09
"CD101",370.3632882459,1.81710442195936,0.420500168347183,4.3212929714194,1.55117551352101e-05,0.0011801683290542
"CD274",181.348653971579,2.54346095463968,0.783661885570738,3.24561013042925,0.00117199222661886,0.0270842364492697
"CD300E",12466.7998737526,1.53127292974835,0.439591471612458,3.48339999438914,0.000495088051380164,0.0148648248366556
"CD44",21672.4533078297,1.43708086391592,0.458707763816044,3.13288977705692,0.00173094430783816,0.0355472642159557
"CD69",20290.0911349041,3.3185986856063,0.391094196191774,8.48542043814686,2.14940151744269e-17,9.85702503888857e-14
"CD74",171216.091130378,1.16439099007895,0.365508095550114,3.18567770250469,0.00144415382455608,0.0314938820559173
"CD80",151.079495951159,4.88643722206443,0.971728246658586,5.02860469361375,4.9406173887173e-07,7.55234558998235e-05
"CD82",2171.96809411143,1.63280958700858,0.521954454673864,3.12826066026933,0.0017584415929169,0.0358180364562119
"CD83",18428.1819810043,1.46621766872203,0.417845720040697,3.50899290910345,0.000449806896881829,0.0138023619076336
"CD8A",2464.32455091681,1.26617624840089,0.351698125565834,3.60017912055627,0.00031799804254937,0.0109472797209868
"CD9",1169.28263636251,2.20801568775282,0.453915899838907,4.86437176696485,1.14820919233288e-06,0.000144935314868564
"CDH1",87.5802215910393,2.55947180283408,0.809353735055464,3.16236484984984,0.00156493358183237,0.0333013069482644
"CDK11A",885.613360488577,-1.59692565116043,0.460822471406046,-3.4653814652049,0.000529479874869582,0.0155965922919319
"CDK6",420.826388729167,-1.78034148011315,0.43237967957631,-4.11754197574159,3.82934798041309e-05,0.00239866902442266
"CDKN1C",86.1195502377048,-2.3421754134017,0.589505784338744,-3.97311693222646,7.09382023660613e-05,0.00371689411265193
"CEACAM1",39.954752491661,2.44467530015284,0.677994090077887,3.60574721215047,0.000311256019821175,0.0108270309024226
"CEACAM6",128.89296483707,4.64792416112442,0.678737223934072,6.84789930068118,7.49422853720795e-12,5.67585617667995e-09
"CEACAM8",184.982793477685,4.69364519892952,0.684411515921625,6.85792843887071,6.98662393398544e-12,5.54338704705073e-09
"CEBPA",118.323038478088,-2.39120399132885,0.513589992002074,-4.65586173517026,3.22628403891747e-06,0.000342397099722566
"CEBPB",289.269954039517,-3.2140237060019,0.484687509429155,-6.63112550555975,3.33136820276132e-11,1.78957047506471e-08
"CELF2-AS1",33.8250431650633,-2.87126267136599,0.878402859918385,-3.26873101441492,0.00108030948523987,0.0257782076251577
"CEP83",274.688204570703,-1.49228298364072,0.398995670936448,-3.74009818236452,0.000183948388684653,0.00733241160828635
"CES1",573.241245581946,1.80117202754897,0.424804249870243,4.2400047271164,2.23515079625408e-05,0.00158476947094406
"CES1P1",48.8467496391207,2.15748947152935,0.661872225227643,3.25967670087276,0.00111539276906388,0.0261387824446447
"CFAP58-DT",131.508520806238,3.09020424814141,0.649429587194705,4.7583360984367,1.95195293554403e-06,0.000229038308535455
"CFB",605.005666290975,7.76875105409392,2.45628327870807,3.16280745036055,0.0015625564355579,0.0332932421090355
"CFD",728.653651061712,1.5499748273612,0.390044380949997,3.97384221658587,7.07224226435374e-05,0.00371689411265193
"CH25H",23.3501660099013,5.00279698676281,1.1321932832345,4.41867750042694,9.93067023517031e-06,0.000851375130973848
"CHAC1",123.592613286701,-2.184437940716,0.482331589368332,-4.52891328054372,5.9287823992418e-06,0.000554974001888578
"CHD1",6338.65545176894,-1.67506465528666,0.473178414093041,-3.54002762044275,0.000400085157758909,0.0127978474164494
"CHIT1",32.4914832109951,5.58780319411219,1.26630827842243,4.4126720873005,1.02102580168554e-05,0.000859208682206289
"CHKA",85.5119739880071,-2.18404235755241,0.658802619192518,-3.31516951196908,0.000915875676628871,0.0226750676433733
"CHMP6",535.292394502958,1.36184732583547,0.390198130507181,3.49014313334956,0.000482761906167745,0.0146250525101218
"CHPT1",122.539690676942,-1.66046019712025,0.534285295663397,-3.10781563819482,0.00188475602769603,0.0375934042196685
"CHUK",217.624265552642,-1.32703912907932,0.419457866221067,-3.16370066208254,0.00155776924135637,0.0332763475634356
"CISH",171.735092678872,1.31974599118261,0.423519376746006,3.11614075682324,0.00183234787633063,0.0368726815403634
"CLC",196.777478040936,3.32592676306176,0.50832957961139,6.54285506187615,6.03553189038842e-11,3.04739491992884e-08
"CLEC12A-AS1",32.4864320510011,3.6497937395547,1.01974671125382,3.57911793122348,0.00034475587661141,0.0115812951937486
"CLEC4D",362.807147812857,1.43955360548929,0.432480332387801,3.32859900828613,0.000872839747844421,0.0218435268670611
"CLEC4E",938.837693996131,2.56432485780028,0.627396572532532,4.08724715764575,4.36522003796305e-05,0.00262575076796175
"CLEC5A",2210.90507508105,2.6228060001739,0.525679947325163,4.98935904540324,6.05799585924418e-07,8.65741107106765e-05
"CLIC4",2415.91651046882,2.42835751592781,0.635388118112916,3.82184911348352,0.000132454729426406,0.00572045307346688
"CLIC4P1",80.3810658206219,2.59404479059458,0.774725557133528,3.34834028219297,0.000812971250808747,0.0207438391745411
"CLIC4P2",29.0687105046638,2.93015215552084,0.936653592792595,3.12831998731218,0.00175808665993459,0.0358180364562119
"CLIC4P3",46.9143990172799,2.65928683736597,0.880627875602834,3.01976227534877,0.00252973158100837,0.0463191072557818
"CLK2",76.0690919776298,-2.29121257137562,0.640892403894084,-3.57503468203731,0.000350181472364343,0.0117163126356118
"CNNM2",61.5869291420542,-1.98118935817866,0.564717032182509,-3.50828688577321,0.000451002415641794,0.0138136070761463
"CNOT11",223.673514387786,-1.58730756883359,0.494948640646201,-3.20701470512418,0.00134120139823808,0.0299558950367868
"COL17A1",13.1832604332317,3.71617011701866,1.15697016548023,3.21198439501348,0.00131821535402738,0.0296012186372024
"COL1A1",80.8813612974652,-2.14150979976368,0.672307444891813,-3.18531323137183,0.00144597405910315,0.0314938820559173
"CPA3",117.034664611748,3.66112233327209,0.539398803612997,6.78741278020861,1.14162231867036e-11,7.60868442947423e-09
"CPNE7",40.8217942487161,3.06194932182119,0.857003138476928,3.57285660267582,0.000353108144500635,0.0117905569211815
"CPNE8",176.610292408714,-2.00934238735095,0.429042907285572,-4.68331337782382,2.82274452901748e-06,0.000305406294431748
"CREB5",181.39729694972,-2.07633918451207,0.598934517915571,-3.46672152364537,0.000526847407697499,0.0155965922919319
"CRISP3",85.3770233117265,5.26351406848373,0.916003219336126,5.74617420263923,9.1285261962882e-09,2.49343448332056e-06
"CRK",538.212450693567,-1.37201092812733,0.437971081042797,-3.13265187477816,0.00173234776997695,0.0355472642159557
"CRLS1",41.9889759368608,-2.14924373328863,0.703110427446994,-3.05676555117035,0.0022373919971134,0.0424111779930642
"CRYM",79.5691272727596,2.29417044930114,0.561155832629504,4.08829475860735,4.34555776190157e-05,0.00262339432713058
"CSAD",90.9553066781199,-1.81253562320902,0.528969134111338,-3.42654326372758,0.00061131636891814,0.0170330323393211
"CSF2",307.267304988757,5.40273697099244,1.57575170619275,3.42867277234067,0.000606540342776356,0.0169524516993868
"CSF2RB",1498.16433370319,1.64511583914139,0.391396744555068,4.2031924435435,2.63176656587759e-05,0.00182710393836052
"CSF3",289.718879122992,7.73291646416314,1.64302876395498,4.70650096566113,2.52004792369189e-06,0.000281805627547344
"CSF3R",3860.35022323449,1.3582926825083,0.453216211920351,2.99700815368673,0.00272643420930099,0.0485340243540311
"CSRNP1",8586.40397396217,1.69178525928682,0.496140881610479,3.40988884809344,0.000649893601832137,0.0175689006557116
"CTLA4",93.0076998462802,2.50597056537222,0.499178913756782,5.02018514065925,5.16217009218604e-07,7.74883586270305e-05
"CTNNA1",1675.99495845022,1.99091207085841,0.483394680401928,4.11860566856679,3.81171774210651e-05,0.00239866902442266
"CXCL1",8009.6965785242,3.5260963180795,0.674071935825483,5.23103860385667,1.68560300959806e-07,3.1915360620367e-05
"CXCL16",5187.07102730046,1.61832128226783,0.395039091508291,4.09661047996275,4.1924345155546e-05,0.00255421611700873
"CXCL2",32444.5685755118,2.35495324555451,0.670052580425917,3.51457977231814,0.000440450362151178,0.0136972439650229
"CXCL3",33268.5667796751,2.55214290387601,0.688254797422439,3.70813674446435,0.000208789904145287,0.00793237489572392
"CXCL8",297539.706895997,3.07916523243122,0.592758856964178,5.19463386544943,2.05123131472045e-07,3.77289143165168e-05
"CXCR3",1166.58840385566,1.44049522758869,0.36217755685489,3.97731775568258,6.96970020459294e-05,0.00367497293699138
"CXCR6",312.987318403191,2.34943877651277,0.43155940344761,5.44406808829502,5.20772988127227e-08,1.14172625370735e-05
"CYB5D1",148.668042685346,-1.49507143430041,0.461967648547995,-3.23631197768837,0.00121084966937572,0.0278104371746364
"DAGLA",124.769961982607,-1.82849779827001,0.483659496236677,-3.78054770452649,0.000156483731016929,0.00645379189654472
"DAPK1",1041.35798258388,1.98399564147663,0.63696584232638,3.11475986566331,0.00184094715527401,0.0368751380510025
"DDA1",947.666885161709,1.2288409650651,0.354699026784941,3.46446105647243,0.000531295059540741,0.0156127659295729
"DDHD1",1091.2936922895,-1.4891144845787,0.422111484854089,-3.52777533426612,0.000419067676791911,0.0133508711868199
"DDIT3",941.552556208416,1.37962442386152,0.410447716478026,3.36126714432673,0.000775857452233545,0.0201047229690752
